,id,date,trip,max_temp,min_temp,avg_temp,precip,weekday,weight,bmi,fat,calories,steps,distance,floors,mins_sedentary,mins_light_active,mins_fairly_active,mins_very_active,calories_activity,mins_asleep,activity_level,steps_level,sleep_cat,weekday2,covid,month2,covid2
84,84,2019-12-23,1,NA,NA,NA,NA,Monday,142.68,23.21,NA,1963,6505,2.79,7,1148,189,13,8,638,NA,Low Activity,Average Step Count,NA,Monday,0,NA,0
85,85,2019-12-24,1,NA,NA,NA,NA,Tuesday,142.89,23.24,NA,1737,3567,1.56,1,1121,15,0,0,39,NA,Low Activity,Low Step Count,NA,Tuesday,0,NA,0
86,86,2019-12-25,1,NA,NA,NA,NA,Wednesday,143.11,23.28,NA,1728,2225,0.97,0,1219,142,0,0,394,NA,Low Activity,Low Step Count,NA,Wednesday,0,NA,0
87,87,2019-12-26,1,NA,NA,NA,NA,Thursday,143.32,23.31,NA,2316,12398,5.42,6,1150,249,22,19,1090,NA,High Activity,High Step Count,NA,Thursday,0,NA,0
88,88,2019-12-27,1,NA,NA,NA,NA,Friday,143.53,23.35,NA,2347,11992,5.23,8,610,279,29,17,1160,439,High Activity,High Step Count,Ideal Sleep Time,Friday,0,NA,0
89,89,2019-12-28,1,NA,NA,NA,NA,Saturday,143.75,23.38,NA,1971,5771,2.44,3,616,228,0,0,700,529,Low Activity,Average Step Count,Ideal Sleep Time,Saturday,0,NA,0
90,90,2019-12-29,1,NA,NA,NA,NA,Sunday,143.96,23.41,NA,1902,4957,2.17,11,758,194,12,0,619,419,Low Activity,Low Step Count,Short Sleep Time,Sunday,0,NA,0
91,91,2019-12-30,1,NA,NA,NA,NA,Monday,144.18,23.45,NA,2897,18133,8.74,30,793,293,2,44,1422,NA,Very High Activity,Very High Step Count,NA,Monday,0,NA,0
92,92,2019-12-31,0,61,49,55,0,Tuesday,144.4,23.49,NA,3027,16729,7.29,85,369,426,53,40,2040,505,Very High Activity,Very High Step Count,Ideal Sleep Time,Tuesday,0,NA,0
93,93,2020-01-01,0,68,48,58,0,Wednesday,144.4,23.49,NA,3031,10684,4.62,31,680,452,74,6,2009,NA,Very High Activity,High Step Count,NA,Wednesday,0,NA,0
94,94,2020-01-02,0,57,48,52.5,0,Thursday,144.4,23.49,NA,2165,10145,4.43,24,443,248,5,22,951,655,Average Activity,High Step Count,Long Sleep Time,Thursday,0,NA,0
95,95,2020-01-03,0,68,49,58.5,0,Friday,144.4,23.49,NA,2694,15622,7.33,41,598,272,33,58,1555,NA,Very High Activity,Very High Step Count,NA,Friday,0,NA,0
96,96,2020-01-04,0,74,57,65.5,0,Saturday,144.4,23.49,NA,2302,9516,4.16,30,1105,327,8,0,1118,432,High Activity,Average Step Count,Ideal Sleep Time,Saturday,0,NA,0
97,97,2020-01-05,0,70,50,60,0,Sunday,144.4,23.49,NA,2206,11028,4.82,73,568,174,25,41,961,553,High Activity,High Step Count,Long Sleep Time,Sunday,0,NA,0
98,98,2020-01-06,0,70,45,57.5,0,Monday,144.4,23.49,NA,2588,14964,7.03,28,559,195,41,63,1389,502,Very High Activity,High Step Count,Ideal Sleep Time,Monday,0,NA,0
99,99,2020-01-07,0,76,46,61,0,Tuesday,144.4,23.49,NA,2306,11316,5.72,55,733,165,15,49,1031,407,High Activity,High Step Count,Short Sleep Time,Tuesday,0,NA,0
100,100,2020-01-08,0,76,42,59,0,Wednesday,143.4,23.32,NA,2538,13215,6.45,32,651,218,15,65,1330,427,Very High Activity,High Step Count,Ideal Sleep Time,Wednesday,0,NA,0
101,101,2020-01-09,0,63,45,54,0,Thursday,142.4,23.16,NA,2192,10442,4.54,59,792,184,25,34,928,363,High Activity,High Step Count,Short Sleep Time,Thursday,0,NA,0
102,102,2020-01-10,0,50,42,46,0,Friday,142.24,23.13,NA,1926,4610,2.01,14,485,181,8,1,610,677,Low Activity,Low Step Count,Long Sleep Time,Friday,0,NA,0
103,103,2020-01-11,0,65,41,53,0,Saturday,142.08,23.11,NA,2342,10594,4.63,26,375,336,23,6,1216,621,High Activity,High Step Count,Long Sleep Time,Saturday,0,NA,0
104,104,2020-01-12,0,62,43,52.5,0,Sunday,141.92,23.08,NA,2016,7283,3.18,19,645,222,14,1,780,462,Average Activity,Average Step Count,Ideal Sleep Time,Sunday,0,NA,0
105,105,2020-01-13,0,63,43,53,0,Monday,141.76,23.06,NA,2507,13992,6.8,52,585,154,26,80,1285,525,Very High Activity,High Step Count,Ideal Sleep Time,Monday,0,NA,0
106,106,2020-01-14,0,62,42,52,0,Tuesday,141.6,23.03,NA,2705,10333,4.52,22,528,373,65,7,1638,421,Very High Activity,High Step Count,Ideal Sleep Time,Tuesday,0,NA,0
107,107,2020-01-15,0,63,42,52.5,0,Wednesday,141.66,23.04,NA,2029,4986,2.12,14,667,234,10,3,776,468,Average Activity,Low Step Count,Ideal Sleep Time,Wednesday,0,NA,0
108,108,2020-01-16,0,66,42,54,0,Thursday,141.73,23.05,NA,2638,15764,7.79,27,536,153,17,89,1421,582,Very High Activity,Very High Step Count,Long Sleep Time,Thursday,0,NA,0
109,109,2020-01-17,1,NA,NA,NA,NA,Friday,141.8,23.06,NA,2841,16563,7.24,138,586,269,26,61,1417,437,Very High Activity,Very High Step Count,Ideal Sleep Time,Friday,0,NA,0
110,110,2020-01-18,1,NA,NA,NA,NA,Saturday,141.83,23.07,NA,2282,6138,2.68,17,534,251,10,27,1014,524,High Activity,Average Step Count,Ideal Sleep Time,Saturday,0,NA,0
111,111,2020-01-19,1,NA,NA,NA,NA,Sunday,141.86,23.07,NA,2245,5654,2.47,16,594,234,14,18,946,534,High Activity,Average Step Count,Ideal Sleep Time,Sunday,0,NA,0
112,112,2020-01-20,1,NA,NA,NA,NA,Monday,141.9,23.08,NA,2020,6469,2.83,14,584,198,11,9,734,575,Average Activity,Average Step Count,Long Sleep Time,Monday,0,NA,0
113,113,2020-01-21,0,75,42,58.5,0.02,Tuesday,141.93,23.08,NA,2476,13414,6.39,60,655,180,23,64,1265,460,Very High Activity,High Step Count,Ideal Sleep Time,Tuesday,0,NA,0
114,114,2020-01-22,0,60,46,53,0,Wednesday,141.96,23.09,NA,2620,15540,8.07,26,631,153,7,83,1364,477,Very High Activity,Very High Step Count,Ideal Sleep Time,Wednesday,0,NA,0
115,115,2020-01-23,0,63,47,55,0,Thursday,142,23.1,NA,2571,14228,6.65,45,720,160,49,60,1288,400,Very High Activity,High Step Count,Short Sleep Time,Thursday,0,NA,0
116,116,2020-01-24,0,76,51,63.5,0,Friday,141.2,22.97,NA,2673,13500,6.34,36,638,239,26,68,1501,436,Very High Activity,High Step Count,Ideal Sleep Time,Friday,0,NA,0
117,117,2020-01-25,0,74,49,61.5,0,Saturday,141.36,22.99,NA,2463,12419,5.42,23,497,297,32,29,1301,534,High Activity,High Step Count,Ideal Sleep Time,Saturday,0,NA,0
118,118,2020-01-26,0,73,51,62,0,Sunday,141.53,23.02,NA,2043,4354,1.88,18,770,221,15,2,794,383,Average Activity,Low Step Count,Short Sleep Time,Sunday,0,NA,0
119,119,2020-01-27,0,61,45,53,0,Monday,141.69,23.05,NA,2463,15095,6.79,62,500,218,46,60,1308,551,High Activity,Very High Step Count,Long Sleep Time,Monday,0,NA,0
120,120,2020-01-28,0,72,49,60.5,0,Tuesday,141.86,23.07,NA,2561,16044,7.87,70,538,189,25,66,1350,535,Very High Activity,Very High Step Count,Ideal Sleep Time,Tuesday,0,NA,0
121,121,2020-01-29,0,76,45,60.5,0,Wednesday,142.02,23.1,NA,2001,5838,2.55,32,678,182,15,11,735,492,Average Activity,Average Step Count,Ideal Sleep Time,Wednesday,0,NA,0
122,122,2020-01-30,0,74,47,60.5,0,Thursday,142.2,23.13,NA,2951,21963,10.53,87,623,193,31,96,1772,417,Very High Activity,Very High Step Count,Short Sleep Time,Thursday,0,NA,0
123,123,2020-01-31,0,74,49,61.5,0,Friday,141.2,22.97,NA,2870,17937,8.13,49,510,251,43,92,1740,491,Very High Activity,Very High Step Count,Ideal Sleep Time,Friday,0,NA,0
124,124,2020-02-01,0,81,52,66.5,0,Saturday,140.8,22.9,NA,2606,10125,4.42,22,560,409,15,4,1475,409,Very High Activity,High Step Count,Short Sleep Time,Saturday,0,NA,0
125,125,2020-02-02,0,84,51,67.5,0,Sunday,140.89,22.92,NA,2021,5160,2.21,23,725,192,9,3,695,469,Average Activity,Average Step Count,Ideal Sleep Time,Sunday,0,NA,0
126,126,2020-02-03,0,73,47,60,0,Monday,140.99,22.93,NA,1814,4819,2.11,26,528,147,8,3,517,664,Low Activity,Low Step Count,Long Sleep Time,Monday,0,NA,0
